game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
barrage-2013.10-3337,.xml,barrage,AAAAAAAABMAAAAAAAADDAAAAAAAAAKAAAAECAALAAA__AA__AAAA__AA__AAAAQAAXAAAAAAAAAAAPAAAAAAAPAAAAAWAYAONAAA,41,Player 1,Player 2,1,1
barrage-2014.5-336,.xml,barrage,AAAAAAAAMBAAAAAAAAEDAAAAAAAAAAAAAACKAALDAA__AA__AAAA__AA__AAAAAAPAAAAAWAAAAAAAAAOQXAAAAAAAYNPAAAAAAA,54,Player 1,Player 2,3,1
barrage-2014.1-1757,.xml,barrage,MBAAAAAAAADAAAAAAAAAAAAAAAAAAAEKAACDAALAAA__AA__AAAA__AA__AAPWAAXYAAPAAAAAAAAAAAQAAAAAAAAAONAAAAAAAA,35,Player 1,Player 2,1,1
barrage-2014.0-50,.xml,barrage,ADBDAAAAAAAAAAAAAAAAAAACAAAAAAAELMAAAAKAAA__AA__AAAA__AA__AAAAAAWOAAAXAAAAAAAPPAAAAAAAAAAYAAAAAAAAQN,52,Player 1,Player 2,3,2
barrage-2014.5-1369,.xml,barrage,MDAAAAAAAABAAAAAAAAAAAAAAAAAAAELDAKCAAAAAA__AA__AAAA__AA__AAAAAAWOAAAXAAAAAAAPPAAAAAAAAAAYAAAAAAAAQN,50,Player 1,Player 2,1,2
barrage-2005.11-7252,.xml,barrage,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMBDKLCEDAAAA__AA__AAAA__AA__AAAAAAAWAAAAAAAAQAAAAAPAAAAAAAAXNPAAAAAAOY,29,Player 1,Player 2,3,1
barrage-2013.10-2242,.xml,barrage,AAAMAABAAAAAAAAAAAAAAAAAAAAAEADLAACKAAADAA__AA__AAAA__AA__AAAAAAOWAAXPAAAAAAAAAAAAAAAAAAPQAAAAAAAANY,39,Player 1,Player 2,0,2
barrage-2005.11-1464,.xml,barrage,AAAAAAAADMAAAAAAAAEBAAAAAAAACKAAAAAAAADLAA__AA__AAAA__AA__AAAAAAAAXAAANWAOAAAPAAYQAPAAAAAAAAAAAAAAAA,96,Player 1,Player 2,3,1
barrage-2005.10-6521,.xml,barrage,AAAAKMAEAAAAAAADDAAAAAAAAAAAAAACBAALAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAXWAAAAAAAOPPAAAAAAAQNY,26,Player 1,Player 2,1,2
barrage-2006.1-1311,.xml,barrage,AAAAAAAAAKAADAAAAAACAAAAAEAADAAAAABAMALAAA__AA__AAAA__AA__AAAAAAAAAAAAOAAAAAAAAANXAAAAAAAAYPQAWAAAAP,76,Player 1,Player 2,1,2
barrage-2014.4-223,.xml,barrage,AAAAAAAAAAAAAAAAAAAAMLAAAAAACEBDAAAAAADKAA__AA__AAAA__AA__AAAAAAAAAAAAPPAWAAAAAAQOAXAAAAAAYNAAAAAAAA,142,Player 1,Player 2,1,2
barrage-2006.1-4853,.xml,barrage,AAAAAAAAAEAAAMAAAAABDDAAAAAAAAAAAAKLACAAAA__AA__AAAA__AA__AAWAAAXPAAPAAQAAAAAAAAOAAAAAAAAAYNAAAAAAAA,18,Player 1,Player 2,1,2
barrage-2014.8-1463,.xml,barrage,AAAKDABAAAAAAAAAAAAEAAAAAAAAAADCAAALAAMAAA__AA__AAAA__AA__AAAXAAPQAAWYAAAAAAAAAAAAAAAAAAAOAAAAAAAAPN,32,Player 1,Player 2,1,2
barrage-2014.4-378,.xml,barrage,AAAAAAAADMAAAAAAAACEAAAAAAAAAAAAAADLAAKBAA__AA__AAAA__AA__AAAXAWPAAAAANOAAAAAAAAPAAAAAAAAAYQAAAAAAAA,80,Player 1,Player 2,3,2
barrage-2014.4-571,.xml,barrage,AAAAAAAADMAAAAAAAAABAAAAAAAALEADAAACAAKAAA__AA__AAAA__AA__AAAPAAAWAAPXAAAAAAAAAAAAAAAAAAONAAAAAAAAQY,113,Player 1,Player 2,3,2
barrage-2006.2-7525,.xml,barrage,AAAAAALDMBAAAAAAAAEDAAAAAAAAAKAAAAAAAAACAA__AA__AAAA__AA__AAANYOWAAAAAAXQPPAAAAAAAAAAAAAAAAAAAAAAAAA,112,Player 1,Player 2,1,2
barrage-2006.0-4394,.xml,barrage,AAAAAAAEAMAADAAADAABAAAAAAAAAAAAAKAALCAAAA__AA__AAAA__AA__AAPNAAYQOAXWAAAAAAAAAPAAAAAAAAAAAAAAAAAAAA,11,Player 1,Player 2,1,1
barrage-2006.1-9261,.xml,barrage,EAAAAAAABMDAAAAAADCAAAAAAAAAKAAAAAAAAAALAA__AA__AAAA__AA__AAAAAYAANAAAAAAOAAWAAAAAAQAAXAAAAAAPAAPAAA,80,Player 1,Player 2,0,2
barrage-2006.2-6383,.xml,barrage,LAAAAAABKMAAADAAAAAAAAEAAAAAAAAAAAAAACDAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAPPONAAAAAAXYWQAAAAAA,62,Player 1,Player 2,1,2
barrage-2014.4-884,.xml,barrage,AAAMAADAAAAAAAAAAAAAAAAAAEAAAACLAAKAAABDAA__AA__AAAA__AA__AAAAAAPXAAWOAAAAAAAAAAAAAAAAAAPNAAAAAAAAQY,47,Player 1,Player 2,3,1
barrage-2014.0-972,.xml,barrage,AAAAAAAADBAAAAAAAAEMAAAAAAAAAAAAAADLAACKAA__AA__AAAA__AA__AAPAAAWAAAAAAXAAAAAAOAAAAAAPAAAAAAAYAANAAQ,63,Player 1,Player 2,0,2
barrage-2014.10-125,.xml,barrage,AAAAAAAABMAAAAAAAAALAAAAAAAACDAAAAADAAEKAA__AA__AAAA__AA__AAQXOPAAAAAAAWAAAAAAAAYAAAAAAAAANPAAAAAAAA,69,Player 1,Player 2,1,1
barrage-2006.2-7964,.xml,barrage,AAACAABAAMDAAAAAEAAAAAAAAAAAAAAAKAAAAADLAA__AA__AAAA__AA__AAPAAWAYAAAAAAAQAAPONAAAAAAAAAAAAAAAAAAAAX,16,Player 1,Player 2,1,2
barrage-2006.1-6359,.xml,barrage,AAAAADAAMAAAAAAAEBAAAAAAAAACLAAAAAAAAAKDAA__AA__AAAA__AA__AAAAAAAAAAAAOPAAAAAAAAWPQAAAAAAAYXNAAAAAAA,84,Player 1,Player 2,1,2
barrage-2014.1-2447,.xml,barrage,AAADAAACAAAABAAADAAAAAAAAAAAAAELAAKMAAAAAA__AA__AAAA__AA__AAXPAAPAAAOAAAAAAAAAAANAQAAAAAAAYWAAAAAAAA,29,Player 1,Player 2,3,1
barrage-2015.0-1569,.xml,barrage,AAAAAAAABMAAAAAAAADLAAAAAAAAAAAAAACKAAEDAA__AA__AAAA__AA__AAQOAAXAAAPPAAAAAAAAAAAAAAAAAAAAAAAWAYNAAA,35,Player 1,Player 2,3,1
barrage-2006.2-1481,.xml,barrage,AAAAAAAADBAAAAAAAAEMAAAAAAAALDAAAAAAAAKCAA__AA__AAAA__AA__AAOAAAWPAAAPQAAAAAAAAAAAAAAAAAAXAAAAAAAANY,23,Player 1,Player 2,1,1
barrage-2005.10-6420,.xml,barrage,MDAAAAAAAABLAAAAAAAAAAAAAAAAAAKAAACEAADAAA__AA__AAAA__AA__AAAAAAAAAAWNAAAAAAAAOYAAAAAAAAXQAAAAAAAAPP,71,Player 1,Player 2,3,1
barrage-2006.2-8924,.xml,barrage,AAAAAAAAAEAAAAAAAKCBAAAAAAAADMAAAAAAAALDAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAWPAAAAAAAXOAPAAAAANQY,101,Player 1,Player 2,0,1
barrage-2014.11-222,.xml,barrage,MBAAAAAAAACAAAAAAAAAAAAAAAAAAADLAADEAAKAAA__AA__AAAA__AA__AAAXAAAWAAOQAAAAAAAAAAPAAAAAAAAAAAANPAYAAA,61,Player 1,Player 2,1,1
barrage-2015.0-170,.xml,barrage,MLAAAAAAAADDAAAAAAAAAAAAAAAAAABAAAEKAAACAA__AA__AAAA__AA__AAPAAAWAAAAANAAAAAAAAAQPAAAAAAAAYXOAAAAAAA,191,Player 1,Player 2,1,1
barrage-2015.0-692,.xml,barrage,AAABDAMAAAAAAAAAAAAAAAAAAAAAAAKLAAACAAEDAA__AA__AAAA__AA__AAPQAAOWPAAAAAAAAAAAAAXAAAAAAAAAYNAAAAAAAA,54,Player 1,Player 2,3,2
barrage-2014.0-275,.xml,barrage,AAAMBACAAAADAAAAAAAAAAAAAAAAKAEAAAADAAALAA__AA__AAAA__AA__AAOWAAXPAAAAAAAAAAAAAAPAAAAAAAAAYQAANAAAAA,40,Player 1,Player 2,3,2
barrage-2013.11-592,.xml,barrage,AAABLAMAAAAAAAAAAADAAAAAAAAAAAKDAAACAAAEAA__AA__AAAA__AA__AAXWAAPPAAAAAAAAAAAAAAQOAAAAAAAAYNAAAAAAAA,53,Player 1,Player 2,0,2
barrage-2013.11-1246,.xml,barrage,MEAAAAAAAABLAAAAAAAADCAAAAAAAADKAAAAAAAAAA__AA__AAAA__AA__AAAAAAQOAAAXAAAAAAAPWAAAAAAAAAAYAAAAAAAAPN,90,Player 1,Player 2,1,2
barrage-2006.7-1637,.xml,barrage,AAAAKAAAMEAAAAAAAAADAAAAAAAAAAAAALAABCADAA__AA__AAAA__AA__AAAAAAXOQAAAAAPAAAAAAAWPAAAAAAAAYNAAAAAAAA,105,Player 1,Player 2,1,1
barrage-2006.2-3076,.xml,barrage,AAAAAAAADMAAAAAAAADBAAAAAAAAAAAAAAELAAKCAA__AA__AAAA__AA__AAAAAAAAAAXWAAAAAAAAQYAAAAAAAAPNAAAAAAAAPO,38,Player 1,Player 2,3,1
barrage-2006.1-8855,.xml,barrage,BDAAAAAAAAMLAAAAAAAAKCAAAAAAAADAAAAAAAAEAA__AA__AAAA__AA__AAAAAAAAAAAAOAAAAAAAAANXAAAAAAAAYPQAWAAAAP,104,Player 1,Player 2,0,1
barrage-2006.0-7440,.xml,barrage,AADEMCDAAAAAAKBLAAAAAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAWXAAAAAAOAAAAAAANAAAAPAAAPYAQAAAAAAA,88,Player 1,Player 2,1,2
barrage-2015.2-2159,.xml,barrage,AAAAAAAABMAAAAAAAADLAAAAAAAAADAAAAEAAACKAA__AA__AAAA__AA__AAAAAAAPAAAWAAAAAAAAQOAAAAAAAAXPAAAAAAAANY,92,Player 1,Player 2,1,2
barrage-2014.11-2081,.xml,barrage,BMAAAAAAAAEAAAAAAAAAAAAAAAAAAADLAAKCAADAAA__AA__AAAA__AA__AAOXAAQWAAPPAAAAAAAAAAAAAAAAAAAAAAANAAYAAA,42,Player 1,Player 2,1,2
barrage-2014.10-2829,.xml,barrage,AAAAAAAABMAAAAAAAAADAAAAAAAAAKAAAADLAAECAA__AA__AAAA__AA__AAWXOAQAAAAAAAAAAAAAAANAPAAAAAAAYPAAAAAAAA,67,Player 1,Player 2,3,1
barrage-2006.2-3171,.xml,barrage,AAAAMBAAAAAAAACEAAAAAAADKLDAAAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAQAAAAAAAAAWAAAAAAAANOYAAAAAAAXPPAAA,61,Player 1,Player 2,1,1
