game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
ultimate_lightning-2005.11-1612,.xml,ultimate lightning,EDMBDADFADGABJAAICFEHAHAGAAAAALKAAAAAAAAAA__AA__AAAA__AA__AAVXAAAWAAAAAPAOSAAAUASATAPPATARYPQAAARNQN,184,Player 1,Player 2,3,2
ultimate.2003.06.16.496,.gsn,ultimate lightning,AAADFBFEMEAAAAAIAAHBADAAGJAAHCGAADALAADKAA__AA__AAAA__AA__AAAQAAAAAAXTTWAPPSAPRVAAAAAAOQSNAAAPAARNUY,183,red,blue,3,1
ultimate.2003.11.09.1423,.gsn,ultimate lightning,ADDBDMEBGAAACEDGAKAAAAAAAAAAAAAFIAHJLHFAAA__AA__AAAA__AA__AAASATRAAAAAUWATXRAAAAOPVPPQAAAANQYPNSAAAA,297,red,blue,1,1
ultimate.2003.06.14.466,.gsn,ultimate lightning,AAAAHBGMGAAAAAHDFFEAAAAAJDACBAAEAADLADIKAA__AA__AAAA__AA__AAAAAPAAXAAAAAAAAAAAAATAWPVPOPANTSRQQURSNY,80,red,blue,1,2
ultimate_lightning-2006.1-6931,.xml,ultimate lightning,AAAAAAAAAAADDICMHDDAAABHKJEBAAAAGEFGLFAAAA__AA__AAAA__AA__AAAWYAQAUAQASAXTAVTPNAAAOANAAASRAAAPAAPARP,203,Player 1,Player 2,1,1
ultimate.2003.05.28.400,.gsn,ultimate lightning,DAAEABADAAAHADMAABEAGAJALACAAKFAGAIFADAHAA__AA__AAAA__AA__AASAAAAAAAAATXAASAWRAUYNOAAAQPVANQAATRPPAP,108,red,blue,1,2
ultimate_lightning-2006.0-790,.xml,ultimate lightning,AAMADDAEAAHBAIAELADAAAJCKADAGFGAAFAAHABAAA__AA__AAAA__AA__AAAAAARAAAAATAWYXRAVASNTAAAUAOASQPNPAPPQAA,110,Player 1,Player 2,1,2
ultimate_lightning-2014.1-3160,.xml,ultimate lightning,AJEAAHBGMDAAADEDAAABFAFAAACALHAAAAADKIGAAA__AA__AAAA__AA__AAPTOVPPWXTPAAAARRAAAAAAAAAAAAAASQNQAASYUN,145,Player 1,Player 2,1,1
ultimate.2003.09.12.4784,.gsn,ultimate lightning,AAAAAFDDBMFAHJEADGCBGHILAAADKEAAAAAAAAAAAA__AA__AAAA__AA__AAAPARAAAQAAAAWPAXTUARQTAOVANASPPAAAAAYNAS,327,red,blue,3,1
ultimate.2003.09.25.4822,.gsn,ultimate lightning,AADEHBJMFBAAAADHAACDAAAAAAALIDAAAAFGKAEGAA__AA__AAAA__AA__AAATAOWAVAAAPSNYUXPPAAARRNQPQAAAAASAATAAAA,213,red,blue,1,1
ultimate_lightning-2005.9-7586,.xml,ultimate lightning,AADDAAMIAAAACJAAHBAAAADHAABDAAFEGLAAKGEFAA__AA__AAAA__AA__AAAPOSXPNAAAARWYAAVNAAATUSTRPAAAAAAAQQAPAA,117,Player 1,Player 2,1,1
ultimate_lightning-2005.9-7185,.xml,ultimate lightning,MBDDEEFBDDGHCJAAHILKFAAAAAAAAGAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAATTAAAAPXNVOUWPPPANYSRRQQSA,127,Player 1,Player 2,1,1
ultimate.2003.05.31.325,.gsn,ultimate lightning,EEDHFBAMAAAAHADFBAADAACAADAALAGJAKAAAAIGAA__AA__AAAA__AA__AAAAAAAAAAAAXSNAAUWASVPTYNAAPRAAQAOATAPPQR,113,red,blue,3,1
ultimate_lightning-2006.0-665,.xml,ultimate lightning,DAAAAAAAADAGBFAABMGAAADLAHACJDAFIEHAKAEAAA__AA__AAAA__AA__AAXWAAAAAAAATAOASAAAAASRPVAAAUAQYNQNPTAPRP,252,Player 1,Player 2,3,2
ultimate_lightning-2005.11-268,.xml,ultimate lightning,EBAAEDCMBDDHAAAAGHIDAAAAAAAJAFAGFKAAALAAAA__AA__AAAA__AA__AAAAAAAAAAASAAAAAQAAPWAARTXPPPTOAAVQSUNNRY,189,Player 1,Player 2,1,1
ultimate_lightning-2006.4-2954,.xml,ultimate lightning,AAAAMAEAAAAAAAFBDFDADHJDBGACAGAAILAAHKEAAA__AA__AAAA__AA__AAVAATSSTAAUPARXAAARWQPAAAAAAQONPPAAAAAANY,138,Player 1,Player 2,1,2
ultimate.2003.05.16.19,.gsn,ultimate lightning,ACFABMADDEAAAHABDDAFAAAAAEAAAAGIHAGJAALKAA__AA__AAAA__AA__AAPXWAVNAANAYAAAPAASOAAAPAAAAAAPAURATRQTQS,36,red,blue,1,2
ultimate.2003.12.06.1062,.gsn,ultimate lightning,AAAADEHMBAAAAAEGFLJAAAAAGFICHAAAAAKBDDDAAA__AA__AAAA__AA__AAAAQQPPAAXAAARAAAAAAAAASTNTVRAAPPSNYWOUAA,69,red,blue,1,1
ultimate_lightning-2006.2-3835,.xml,ultimate lightning,AAAADDDABMAAAEAFACIBAAGAAAHJAEAFAKHDAALGAA__AA__AAAA__AA__AARQVSTAAAAASXROWAAAAANUPTPAAAAAYNPQPAAAAA,80,Player 1,Player 2,3,2
ultimate.2003.09.28.6052,.gsn,ultimate lightning,FBMBEAAAAADAEAJLAAAAADKCHDFAGAAGIDAAHAAAAA__AA__AAAA__AA__AAPTAUWXOVTQQAAAAAAAAAAAAAAAAAAPAPPRRSYNSN,28,red,blue,1,2
ultimate.2003.07.27.777,.gsn,ultimate lightning,ADADAALMBBEFHCGFDHEAAAKIAAAAAGAAADAAAJAAAA__AA__AAAA__AA__AAAAAAPSAAAARSAWAVXARAATAOAAYTUAPAAAPQNNQP,192,red,blue,1,2
ultimate_lightning-2006.0-3580,.xml,ultimate lightning,DFDAHDBEDMEAIAAAJBFGAAAAAGACAHAAAAAAAAKLAA__AA__AAAA__AA__AAAWOVAAXUSAQAAAAAAAARTSAAAAATRNPPPAAANQPY,67,Player 1,Player 2,1,1
ultimate.2003.05.21.73,.gsn,ultimate lightning,AHMHDFCBBEAALAAAADDEAAAAAAAKAAIDJAGFAAGAAA__AA__AAAA__AA__AAQRAAQATAXSAAAAWSANAAAAPTUOAVAPAPAANAPARY,106,red,blue,1,2
ultimate.2003.05.28.280,.gsn,ultimate lightning,DADDEAAEBMAJDHAACBHFIAFKGAALAGAAAAAAAAAAAA__AA__AAAA__AA__AAAASSAAUQAAAAWYAANXAAAATRAAOVAAAPQTPPRNPA,95,red,blue,1,1
ultimate.2003.05.25.8,.gsn,ultimate lightning,AAMEHEAHDGGBAFAAAAAFADAAACAAAAKLDAJBDAAIAA__AA__AAAA__AA__AATXAUAPOASVANAAAAAWAAYATAAARAAANARAQPPQPS,76,red,blue,1,2
ultimate.2003.12.28.1311,.gsn,ultimate lightning,EHAADDAFBMEAAAADHAFBAAAAAAAAAAJDACIGALGKAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAPRVTPSNXTPRPNOWQYQUS,75,red,blue,1,1
ultimate_lightning-2006.4-4208,.xml,ultimate lightning,AAAAAFEGBMAIADAFHEHBDAAACAAJDGADAAKLAAAAAA__AA__AAAA__AA__AAAASWTPXAAAAASNTOUVAAAARYNRAAAAAPPQQPAAAA,25,Player 1,Player 2,3,1
